Date,Consumer price index,Quarterly inflation – original,Quarterly inflation - seasonal adjusted,Year ended inflation,Housing year-ended inflation
Mar-2010,95.2 ,1.0 ,0.7 ,2.9 ,6.1
Jun-2010,95.8 ,0.6 ,0.6 ,3.1 ,5.9
Sep-2010,96.5 ,0.7 ,0.6 ,2.9 ,5.1
Dec-2010,96.9 ,0.4 ,0.6 ,2.8 ,4.9
Mar-2011,98.3 ,1.4 ,1.4 ,3.3 ,4.9
Jun-2011,99.2 ,0.9 ,0.9 ,3.5 ,4.6
Sep-2011,99.8 ,0.6 ,0.4 ,3.4 ,4.2
Dec-2011,99.8 ,0.0 ,0.2 ,3.0 ,4.1
Mar-2012,99.9 ,0.1 ,0.0 ,1.6 ,3.3
Jun-2012,100.4 ,0.5 ,0.6 ,1.2 ,3.3
Sep-2012,101.8 ,1.4 ,1.1 ,2.0 ,4.7
Dec-2012,102.0 ,0.2 ,0.4 ,2.2 ,4.4
Mar-2013,102.4 ,0.4 ,0.4 ,2.5 ,5.1
Jun-2013,102.8 ,0.4 ,0.5 ,2.4 ,5.3
Sep-2013,104.0 ,1.2 ,1.0 ,2.2 ,4.0
Dec-2013,104.8 ,0.8 ,0.8 ,2.7 ,4.3
Mar-2014,105.4 ,0.6 ,0.7 ,2.9 ,3.6
Jun-2014,105.9 ,0.5 ,0.7 ,3.0 ,3.9
Sep-2014,106.4 ,0.5 ,0.2 ,2.3 ,2.3
Dec-2014,106.6 ,0.2 ,0.2 ,1.7 ,2.4
Mar-2015,106.8 ,0.2 ,0.3 ,1.3 ,2.7
Jun-2015,107.5 ,0.7 ,0.8 ,1.5 ,2.5
Sep-2015,108.0 ,0.5 ,0.1 ,1.5 ,2.7
Dec-2015,108.4 ,0.4 ,0.5 ,1.7 ,2.2
Mar-2016,108.2 ,-0.2 ,-0.1 ,1.3 ,1.7
Jun-2016,108.6 ,0.4 ,0.6 ,1.0 ,1.3
Sep-2016,109.4 ,0.7 ,0.5 ,1.3 ,1.8
Dec-2016,110.0 ,0.5 ,0.5 ,1.5 ,1.9
Mar-2017,110.5 ,0.5 ,0.6 ,2.1 ,2.5
Jun-2017,110.7 ,0.2 ,0.4 ,1.9 ,2.4
Sep-2017,111.4 ,0.6 ,0.4 ,1.8 ,3.3
Dec-2017,112.1 ,0.6 ,0.7 ,1.9 ,3.4
Mar-2018,112.6 ,0.4 ,0.4 ,1.9 ,3.3
Jun-2018,113.0 ,0.4 ,0.5 ,2.1 ,3.1
Sep-2018,113.5 ,0.4 ,0.3 ,1.9 ,1.6
Dec-2018,114.1 ,0.5 ,0.4 ,1.8 ,1.5
Mar-2019,114.1 ,0.0 ,0.1 ,1.3 ,0.8
Jun-2019,114.8 ,0.6 ,0.8 ,1.6 ,0.5
Sep-2019,115.4 ,0.5 ,0.3 ,1.7 ,0.4
Dec-2019,116.2 ,0.7 ,0.6 ,1.8 ,0.2
Mar-2020,116.6 ,0.3 ,0.5 ,2.2 ,0.6
Jun-2020,114.4 ,-1.9 ,-1.8 ,-0.3 ,0.1
Sep-2020,116.2 ,1.6 ,1.4 ,0.7 ,-0.2
Dec-2020,117.2 ,0.9 ,0.8 ,0.9 ,-0.9
Mar-2021,117.9 ,0.6 ,0.6 ,1.1 ,-1.1
Jun-2021,118.8 ,0.8 ,0.8 ,3.8 ,-0.2
Sep-2021,119.7 ,0.8 ,0.8 ,3.0 ,1.6
Dec-2021,121.3 ,1.3 ,1.3 ,3.5 ,4.0
Mar-2022,123.9 ,2.1 ,2.1 ,5.1 ,6.7
Jun-2022,126.1 ,1.8 ,1.8 ,6.1 ,9.0
Sep-2022,128.4 ,1.8 ,1.9 ,7.3 ,10.5
Dec-2022,130.8 ,1.9 ,1.9 ,7.8 ,10.7
Mar-2023,132.6 ,1.4 ,1.3 ,7.0 ,9.8
Jun-2023,133.7 ,0.8 ,0.9 ,6.0 ,8.1
