Date,Commodity prices ,Rural commodity prices ,Non-rural commodity prices,Base metals prices,Bulk commodities prices,Commodity prices (with bulk commodities spot prices) ,Bulk commodities spot prices 
Jan-2010,50.6,48.8,51.3,60.5,44.6,56.8,57.9
Feb-2010,52.7,50.0,53.6,57.7,48.5,59.1,61.7
Mar-2010,52.5,47.9,53.6,60.4,48.9,60.3,64.6
Apr-2010,59.4,47.6,61.7,62.6,61.2,66.5,74.7
May-2010,64.2,48.4,67.1,58.0,69.0,67.4,74.9
Jun-2010,66.4,47.8,69.7,55.1,72.5,65.2,70.3
Jul-2010,67.1,49.3,70.3,55.8,74.6,60.7,62.5
Aug-2010,67.7,53.8,70.3,58.5,74.1,63.0,65.1
Sep-2010,65.5,56.1,67.4,58.8,72.1,60.1,61.9
Oct-2010,62.4,55.9,63.9,60.5,65.8,60.2,61.6
Nov-2010,62.9,57.9,64.2,59.7,65.1,63.5,66.0
Dec-2010,65.0,61.9,66.0,62.1,66.7,67.5,70.9
Jan-2011,67.5,65.9,68.3,64.4,69.7,74.4,81.5
Feb-2011,69.8,69.5,70.4,65.8,72.4,75.6,82.3
Mar-2011,70.9,67.5,72.0,64.7,74.4,72.7,77.2
Apr-2011,72.0,65.3,73.6,63.1,76.2,72.1,75.9
May-2011,73.2,62.5,75.4,59.2,81.0,69.0,72.9
Jun-2011,74.1,60.7,76.7,59.7,80.8,69.4,71.9
Jul-2011,73.0,56.9,76.0,60.6,78.8,69.1,71.5
Aug-2011,74.6,58.6,77.6,57.8,80.4,70.9,73.3
Sep-2011,74.8,58.9,77.8,56.0,81.6,70.7,73.8
Oct-2011,72.5,56.8,75.5,51.9,78.9,65.5,66.1
Nov-2011,69.2,55.9,71.7,51.4,72.0,62.4,60.0
Dec-2011,66.8,54.4,69.2,50.8,69.1,60.8,58.6
Jan-2012,64.8,54.5,66.9,52.4,66.4,60.5,58.8
Feb-2012,63.4,53.7,65.3,52.5,63.7,59.7,57.3
Mar-2012,65.0,55.3,67.0,52.8,64.9,60.9,57.8
Apr-2012,64.8,54.7,66.8,51.9,65.7,61.3,59.6
May-2012,65.8,53.9,68.1,51.9,66.8,61.2,58.8
Jun-2012,64.2,52.8,66.4,49.0,64.8,60.5,58.2
Jul-2012,61.9,56.2,63.1,47.7,60.7,57.7,54.0
Aug-2012,59.2,54.9,60.2,46.3,56.8,52.3,45.5
Sep-2012,56.4,55.2,56.9,51.4,51.6,50.5,42.3
Oct-2012,55.4,55.8,55.7,50.6,50.3,52.0,45.1
Nov-2012,55.3,54.9,55.7,49.0,50.5,52.7,46.6
Dec-2012,55.6,54.8,56.1,51.3,51.0,55.0,50.2
Jan-2013,58.6,54.6,59.6,51.0,55.7,58.4,55.4
Feb-2013,60.7,55.2,61.9,52.4,58.6,60.5,58.4
Mar-2013,59.4,55.1,60.5,48.8,57.6,57.1,53.8
Apr-2013,58.5,54.0,59.6,46.5,57.5,55.0,51.7
May-2013,59.4,55.6,60.4,48.2,57.9,54.8,50.3
Jun-2013,59.6,57.4,60.3,49.9,56.5,54.7,48.7
Jul-2013,61.0,57.3,62.0,50.4,57.6,58.1,52.9
Aug-2013,62.0,57.3,63.1,53.0,59.8,60.5,57.1
Sep-2013,61.2,56.3,62.3,50.5,59.1,58.7,54.9
Oct-2013,59.5,56.7,60.3,50.1,57.1,56.8,52.6
Nov-2013,60.2,56.6,61.1,49.8,58.3,58.6,55.6
Dec-2013,63.2,57.9,64.3,52.5,61.0,60.2,56.0
Jan-2014,63.2,57.0,64.6,53.5,61.3,59.3,54.9
Feb-2014,62.0,57.9,63.0,52.0,58.9,57.5,51.8
Mar-2014,58.9,60.9,59.1,50.3,54.0,54.1,46.5
Apr-2014,56.3,59.6,56.3,50.7,50.9,53.3,46.2
May-2014,54.4,60.8,53.9,51.1,47.7,51.2,42.8
Jun-2014,52.2,59.2,51.6,51.6,44.3,49.2,39.9
Jul-2014,51.3,57.9,50.8,54.1,43.5,49.2,40.4
Aug-2014,50.8,57.3,50.2,55.3,42.8,48.5,39.5
Sep-2014,50.8,57.5,50.2,55.5,41.7,47.7,37.3
Oct-2014,50.4,59.8,49.5,55.8,40.8,48.0,37.5
Nov-2014,50.1,60.8,49.0,57.8,40.2,46.9,35.8
Dec-2014,50.4,63.7,48.9,57.4,41.3,47.5,37.2
Jan-2015,51.1,62.2,50.0,54.9,41.3,48.4,37.6
Feb-2015,50.6,62.4,49.4,56.4,41.5,47.8,37.6
Mar-2015,48.3,60.5,47.0,56.7,39.7,44.9,34.9
Apr-2015,45.6,61.4,43.9,58.6,36.3,42.3,31.7
May-2015,45.1,60.2,43.4,58.4,36.8,42.5,33.1
Jun-2015,46.5,60.9,44.9,55.4,38.1,44.1,34.7
Jul-2015,46.0,62.1,44.1,55.0,36.5,42.6,31.6
Aug-2015,46.1,61.3,44.4,52.6,37.2,43.5,33.5
Sep-2015,47.6,61.7,46.0,54.9,38.4,45.1,34.9
Oct-2015,45.7,60.7,44.1,53.0,36.5,42.7,32.1
Nov-2015,43.5,60.4,41.6,50.1,34.0,40.4,29.5
Dec-2015,41.0,60.6,38.7,49.4,31.0,38.0,26.7
Jan-2016,41.3,60.9,39.0,49.8,31.7,38.9,28.4
Feb-2016,42.0,59.8,40.0,51.3,32.9,40.0,30.2
