Date,Real GDP,Year-ended real GDP growth,Real non-farm GDP,Year-ended real non-farm GDP growth,Year-ended real GDP per capita growth,Real GDI,Year-ended real GDI growth,Household consumption
Mar-2010,403958000000,2.3,394523000000,2.4,0.6,390594000000,1.7,215064000000
Jun-2010,406564000000,2.2,396804000000,2.2,0.6,403110000000,6.5,218204000000
Sep-2010,409339000000,2.5,399411000000,2.6,1.1,406641000000,7.5,220375000000
Dec-2010,412790000000,2.6,402597000000,2.6,1.2,412294000000,7.3,222798000000
Mar-2011,411551000000,1.9,401420000000,1.7,0.5,415225000000,6.3,224122000000
Jun-2011,416777000000,2.5,406429000000,2.4,1.1,422693000000,4.9,225631000000
Sep-2011,422465000000,3.2,412047000000,3.2,1.7,430200000000,5.8,227063000000
Dec-2011,426994000000,3.4,416894000000,3.6,1.8,430683000000,4.5,227953000000
Mar-2012,431139000000,4.8,420707000000,4.8,3.0,430152000000,3.6,231170000000
Jun-2012,434261000000,4.2,424131000000,4.4,2.4,432301000000,2.3,232159000000
Sep-2012,436763000000,3.4,426655000000,3.5,1.6,430597000000,0.1,232765000000
Dec-2012,438844000000,2.8,428965000000,2.9,0.9,431043000000,0.1,233141000000
Mar-2013,440891000000,2.3,430699000000,2.4,0.5,433599000000,0.8,234455000000
Jun-2013,442584000000,1.9,431854000000,1.8,0.2,435343000000,0.7,235103000000
Sep-2013,446148000000,2.1,435967000000,2.2,0.4,436849000000,1.5,237092000000
Dec-2013,449737000000,2.5,439095000000,2.4,0.9,441012000000,2.3,238217000000
Mar-2014,453233000000,2.8,442902000000,2.8,1.2,442157000000,2.0,240010000000
Jun-2014,455330000000,2.9,445039000000,3.1,1.4,441345000000,1.4,241036000000
Sep-2014,457317000000,2.5,447034000000,2.5,1.0,439906000000,0.7,243217000000
Dec-2014,459019000000,2.1,448486000000,2.1,0.6,439468000000,-0.4,244706000000
Mar-2015,463294000000,2.2,452566000000,2.2,0.8,440196000000,-0.4,245683000000
Jun-2015,463663000000,1.8,453080000000,1.8,0.4,438506000000,-0.6,247154000000
Sep-2015,468359000000,2.4,458445000000,2.6,1.0,440494000000,0.1,249304000000
Dec-2015,471247000000,2.7,461678000000,2.9,1.2,439351000000,0.0,250402000000
Mar-2016,475521000000,2.6,466134000000,3.0,1.1,441394000000,0.3,252418000000
Jun-2016,478498000000,3.2,468550000000,3.4,1.6,447225000000,2.0,253522000000
Sep-2016,478840000000,2.2,468698000000,2.2,0.6,451329000000,2.5,255116000000
Dec-2016,483965000000,2.7,473105000000,2.5,1.0,466636000000,6.2,256921000000
Mar-2017,485563000000,2.1,474162000000,1.7,0.4,471913000000,6.9,257939000000
Jun-2017,488473000000,2.1,478039000000,2.0,0.4,470392000000,5.2,259554000000
Sep-2017,493017000000,3.0,482168000000,2.9,1.3,474618000000,5.2,261299000000
Dec-2017,495418000000,2.4,486020000000,2.7,0.8,476796000000,2.2,263811000000
Mar-2018,500335000000,3.0,490147000000,3.4,1.5,483325000000,2.4,265205000000
Jun-2018,503912000000,3.2,493124000000,3.2,1.6,487069000000,3.5,267073000000
Sep-2018,506123000000,2.7,495983000000,2.9,1.1,490459000000,3.3,267496000000
Dec-2018,507346000000,2.4,498312000000,2.5,0.8,494489000000,3.7,268199000000
Mar-2019,510216000000,2.0,501352000000,2.3,0.4,499179000000,3.3,268747000000
Jun-2019,512265000000,1.7,503931000000,2.2,0.2,504403000000,3.6,269886000000
Sep-2019,515898000000,1.9,507365000000,2.3,0.4,509109000000,3.8,269894000000
Dec-2019,518640000000,2.2,510117000000,2.4,0.7,505851000000,2.3,271129000000
Mar-2020,517562000000,1.4,509845000000,1.7,0.0,505158000000,1.2,267543000000
Jun-2020,482814000000,-5.7,475339000000,-5.7,-6.9,470991000000,-6.6,233750000000
Sep-2020,501105000000,-2.9,493483000000,-2.7,-3.6,490727000000,-3.6,252023000000
Dec-2020,517892000000,-0.1,506437000000,-0.7,-0.6,512563000000,1.3,264036000000
Mar-2021,528922000000,2.2,517981000000,1.6,2.1,532777000000,5.5,267611000000
Jun-2021,532500000000,10.3,520380000000,9.5,10.2,544353000000,15.6,270175000000
Sep-2021,521416000000,4.1,509087000000,3.2,3.8,534069000000,8.8,256982000000
Dec-2021,541672000000,4.6,527051000000,4.1,4.0,545268000000,6.4,273277000000
Mar-2022,545026000000,3.0,531758000000,2.7,2.0,559763000000,5.1,278398000000
Jun-2022,548968000000,3.1,535690000000,2.9,1.8,572535000000,5.2,284483000000
Sep-2022,552670000000,6.0,540606000000,6.2,4.2,566179000000,6.0,286658000000
Dec-2022,556278000000,2.7,543794000000,3.2,0.8,569274000000,4.4,287484000000
Mar-2023,558349000000,2.4,545602000000,2.6,0.3,575305000000,2.8,288316000000
Jun-2023,560335000000,2.1,547451000000,2.2,-0.3,566404000000,-1.1,288682000000
