INTERVAL_DATETIME,REGION,POWER,QI,LASTCHANGED
10/8/22 23:30,NSW1,0,1,10/8/22 23:49
11/8/22 0:00,NSW1,0,1,11/8/22 0:19
11/8/22 0:30,NSW1,0,1,11/8/22 0:49
11/8/22 1:00,NSW1,0,1,11/8/22 1:19
11/8/22 1:30,NSW1,0,1,11/8/22 1:49
11/8/22 2:00,NSW1,0,1,11/8/22 2:19
11/8/22 2:30,NSW1,0,1,11/8/22 2:49
11/8/22 3:00,NSW1,0,1,11/8/22 3:19
11/8/22 3:30,NSW1,0,1,11/8/22 3:49
11/8/22 4:00,NSW1,0,1,11/8/22 4:19
11/8/22 4:30,NSW1,0,1,11/8/22 4:49
11/8/22 5:00,NSW1,0,1,11/8/22 5:19
11/8/22 5:30,NSW1,0,1,11/8/22 5:49
11/8/22 6:00,NSW1,0,1,11/8/22 6:19
11/8/22 6:30,NSW1,0,1,11/8/22 6:49
11/8/22 7:00,NSW1,17.46,1,11/8/22 7:19
11/8/22 7:30,NSW1,158.781,1,11/8/22 7:49
11/8/22 8:00,NSW1,329.135,1,11/8/22 8:19
11/8/22 8:30,NSW1,458.562,1,11/8/22 8:49
11/8/22 9:00,NSW1,630.214,1,11/8/22 9:19
11/8/22 9:30,NSW1,732.52,1,11/8/22 9:49
11/8/22 10:00,NSW1,909.144,1,11/8/22 10:20
11/8/22 10:30,NSW1,992.795,1,11/8/22 10:49
11/8/22 11:00,NSW1,1041.357,1,11/8/22 11:19
11/8/22 11:30,NSW1,1069.203,1,11/8/22 11:49
11/8/22 12:00,NSW1,1166.454,1,11/8/22 12:19
11/8/22 12:30,NSW1,1271.066,1,11/8/22 12:49
11/8/22 13:00,NSW1,1234.009,1,11/8/22 13:19
11/8/22 13:30,NSW1,1243.72,1,11/8/22 13:49
11/8/22 14:00,NSW1,1109.357,1,11/8/22 14:19
11/8/22 14:30,NSW1,896.346,1,11/8/22 14:49
11/8/22 15:00,NSW1,651.221,1,11/8/22 15:19
11/8/22 15:30,NSW1,530.835,1,11/8/22 15:49
11/8/22 16:00,NSW1,377.012,1,11/8/22 16:19
11/8/22 16:30,NSW1,225.629,1,11/8/22 16:49
11/8/22 17:00,NSW1,84.686,1,11/8/22 17:19
11/8/22 17:30,NSW1,11.69,1,11/8/22 17:49
11/8/22 18:00,NSW1,0,1,11/8/22 18:19
11/8/22 18:30,NSW1,0,1,11/8/22 18:49
11/8/22 19:00,NSW1,0,1,11/8/22 19:19
11/8/22 19:30,NSW1,0,1,11/8/22 19:49
11/8/22 20:00,NSW1,0,1,11/8/22 20:19
