'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5',Total Residential,Cumulative Residential,'9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW',Total Commercial,Cumulative Commercial
2007-01,11,15,0,0,26,26,0,0,0,0,0,0,0,0,0
2007-02,24,7,5,7,43,69,0,0,0,0,0,0,0,0,0
2007-03,31,6,0,7,44,113,0,0,0,0,0,0,0,0,0
2007-04,22,10,0,13,45,158,0,0,0,0,0,0,0,0,0
2007-05,32,17,5,0,54,212,0,0,0,0,0,0,0,0,0
2007-06,53,6,5,0,64,276,0,0,0,0,0,0,0,0,0
2007-07,101,17,5,0,123,399,0,0,0,0,0,0,0,0,0
2007-08,98,27,17,0,142,541,0,0,0,0,0,0,0,0,0
2007-09,127,45,15,0,187,728,0,0,0,0,0,0,0,0,0
2007-10,131,55,16,0,202,930,0,0,0,0,0,0,0,0,0
2007-11,155,36,0,0,191,1121,0,0,0,0,0,0,0,0,0
2007-12,129,43,5,0,177,1298,0,0,0,64,0,0,0,64,64
2008-01,149,40,0,0,189,1487,0,0,0,99,0,0,0,99,163
2008-02,207,49,5,0,261,1748,0,0,0,0,0,0,0,0,163
2008-03,221,38,18,14,291,2039,0,0,0,0,0,0,0,0,163
2008-04,214,34,12,7,267,2306,0,0,36,0,0,0,0,36,199
2008-05,278,41,10,8,337,2643,0,0,0,0,0,0,0,0,199
2008-06,237,27,17,0,281,2924,0,0,0,0,0,0,0,0,199
2008-07,284,62,21,0,367,3291,12,0,0,0,0,0,0,12,211
2008-08,304,61,0,7,372,3663,11,0,0,0,0,0,0,11,222
2008-09,300,71,33,31,435,4098,10,0,0,0,0,0,0,10,232
2008-10,375,94,16,8,493,4591,10,0,0,0,0,0,0,10,242
2008-11,413,56,5,8,482,5073,0,0,0,0,0,0,0,0,242
2008-12,536,122,32,15,705,5778,11,0,0,0,0,0,0,11,253
2009-01,523,67,20,7,617,6395,0,0,0,0,0,0,0,0,253
2009-02,718,84,11,7,820,7215,0,43,0,0,0,0,0,43,296
2009-03,866,91,28,0,985,8200,0,15,0,100,0,0,0,115,411
2009-04,891,117,117,7,1132,9332,48,23,0,0,0,0,0,71,482
2009-05,1003,130,44,14,1191,10523,20,0,0,0,0,0,0,20,502
2009-06,1057,107,53,7,1224,11747,0,17,0,0,0,0,0,17,519
2009-07,1179,102,76,21,1378,13125,10,0,34,0,0,0,0,44,563
2009-08,1616,159,46,13,1834,14959,10,0,37,0,0,0,0,47,610
2009-09,2033,191,95,7,2326,17285,10,0,0,0,0,0,0,10,620
2009-10,2077,240,142,30,2489,19774,0,24,57,0,0,0,0,81,701
2009-11,2478,266,222,39,3005,22779,20,0,0,0,0,0,0,20,721
2009-12,2135,364,203,30,2732,25511,92,40,36,51,0,0,0,219,940
2010-01,2114,340,151,46,2651,28162,132,0,0,0,0,0,0,132,1072
2010-02,2862,692,267,78,3899,32061,200,60,0,0,0,0,0,260,1332
2010-03,4078,1133,551,96,5858,37919,402,105,60,0,0,0,0,567,1899
2010-04,4815,1620,478,96,7009,44928,425,20,0,0,0,0,0,445,2344
2010-05,6287,1990,591,210,9078,54006,702,20,0,0,0,0,0,722,3066
2010-06,7956,3026,1075,362,12419,66425,1410,0,29,200,0,0,0,1639,4705
2010-07,8569,3385,1387,434,13775,80200,1330,37,30,0,0,0,0,1397,6102
2010-08,9290,3838,1589,508,15225,95425,1636,0,130,65,0,0,0,1831,7933
2010-09,10471,4582,1721,379,17153,112578,1772,16,72,0,0,0,0,1860,9793
2010-10,11961,5042,1981,692,19676,132254,1666,37,30,0,0,0,0,1733,11526
2010-11,13502,6135,2365,493,22495,154749,1921,16,63,0,0,0,0,2000,13526
2010-12,9031,4032,1489,445,14997,169746,1816,19,0,0,0,0,0,1835,15361
2011-01,14426,7075,2654,618,24773,194519,3186,61,137,0,0,0,0,3384,18745
2011-02,13986,6500,2629,825,23940,218459,3004,55,90,142,0,0,0,3291,22036
2011-03,14697,7043,3124,725,25589,244048,4408,98,176,0,0,0,0,4682,26718
2011-04,12293,5565,2264,765,20887,264935,4390,73,30,0,0,0,0,4493,31211
2011-05,16936,6932,2491,632,26991,291926,4297,96,150,0,0,0,0,4543,35754
2011-06,20932,9392,3017,604,33945,325871,3006,264,205,0,0,0,0,3475,39229
2011-07,2721,1416,557,196,4890,330761,837,179,130,0,0,0,0,1146,40375
2011-08,2397,1337,423,109,4266,335027,713,103,99,0,0,0,0,915,41290
2011-09,2162,1127,360,193,3842,338869,620,61,0,0,100,0,0,781,42071
