Date,Output NSW
2015-04,11308
2015-05,11515
2015-06,10166
2015-07,12928
2015-08,15833
2015-09,19282
2015-10,37325
2015-11,111679
2015-12,127291
2016-01,114367
2016-02,123341
2016-03,110203
2016-04,87472
2016-05,80004
2016-06,57409
2016-07,71404
2016-08,91160
2016-09,104385
2016-10,139916
2016-11,150825
2016-12,137966
2017-01,137883
2017-02,121555
2017-03,100266
2017-04,109020
2017-05,90469
2017-06,71389
2017-07,98578
2017-08,125785
2017-09,151278
2017-10,154646
2017-11,169006
2017-12,170300
2018-01,181973
2018-02,156473
2018-03,154798
2018-04,137628
2018-05,122031
2018-06,91446
2018-07,130994
2018-08,154395
2018-09,178585
2018-10,182460
2018-11,213364
2018-12,286090
2019-01,280621
2019-02,253418
2019-03,228414
2019-04,214438
2019-05,188217
2019-06,148438
2019-07,191491
2019-08,240808
2019-09,279262
2019-10,340886
2019-11,367317
2019-12,371630
2020-01,336514
2020-02,293023
2020-03,296949
2020-04,262562
2020-05,238262
2020-06,208381
2020-07,227586
2020-08,320894
2020-09,371110
2020-10,412921
2020-11,490761
2020-12,444709
2021-01,497959
2021-02,413880
2021-03,394532
2021-04,421511
2021-05,328856
2021-06,262042
2021-07,315866
2021-08,420612
2021-09,510243
2021-10,593579
2021-11,473129
2021-12,622381
2022-01,591369
2022-02,498982
2022-03,443781
2022-04,406858
2022-05,346778
2022-06,357081
2022-07,337342
2022-08,443112
2022-09,514739
2022-10,553552
2022-11,776379
2022-12,778104
2023-01,697019
2023-02,650798
2023-03,575406
2023-04,482746
2023-05,476529
2023-06,375927
2023-07,426254
