Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/8/22,5.3,20.4,0,W,33,14:25,13.6,70,8,N,11,1016.3,20,30,0,WNW,13,1014.6
2/8/22,5.1,19.7,0,NNW,19,10:22,11.1,61,0,N,9,1021.2,19.5,31,0,NNW,6,1016.7
3/8/22,6.1,24,0,N,43,13:58,9.7,82,7,NA,0,1016.2,23.4,41,0,N,17,1009.8
4/8/22,9.7,21.4,0,N,48,18:18,19.7,62,8,N,17,1009.5,21.2,57,8,NNW,15,1004.2
5/8/22,13.8,22.8,2,WNW,52,14:29,15.5,82,8,NA,0,1005.8,22.7,29,0,WNW,20,1001.7
6/8/22,11.5,19.5,0,WNW,43,14:43,16.5,47,0,WNW,15,1008.8,19.1,33,1,WNW,24,1007.8
7/8/22,6.4,18.8,0,WSW,31,10:24,12.8,62,0,NA,0,1015.8,13.9,71,8,S,19,1015.4
8/8/22,7.1,18.4,0,SSE,31,16:08,11.3,67,0,SW,17,1023,16.6,54,0,SSE,19,1020.7
9/8/22,4.7,17.4,0,S,33,14:37,10.5,72,8,SW,9,1025.1,15.7,55,1,SSW,19,1023.6
10/8/22,7.7,17.8,4.8,ESE,31,15:54,11.1,74,2,WSW,11,1029.2,16.2,62,1,ESE,13,1026.8
11/8/22,6.2,17.2,0,NNW,24,14:56,9.7,95,8,NA,0,1025.6,16.1,57,8,N,15,1020.2
12/8/22,9.7,17,0.2,N,26,9:06,15.2,64,8,N,13,1018.4,16.4,66,8,N,11,1015.5
13/8/22,10.8,19.2,1.6,WNW,35,15:55,12.5,82,8,WNW,9,1013.2,18.5,45,5,WSW,11,1009.4
14/8/22,7.5,18,0.2,NW,43,11:08,13.3,58,3,NW,9,1009.4,17,41,0,WNW,24,1006.3
15/8/22,7.7,18.3,0,WNW,41,13:53,13.2,54,7,NNW,11,1009.4,16.7,44,6,WNW,19,1007
16/8/22,4,18.8,0,W,35,13:38,12.6,67,0,NW,9,1010.1,18.2,36,2,W,17,1009.5
17/8/22,5.3,20.5,0,WSW,26,10:19,12.9,60,5,WSW,13,1020.2,19.1,46,1,ENE,13,1017.5
18/8/22,5.4,20.7,0,N,17,12:32,10.5,84,7,NNW,6,1016.3,19.8,42,2,NNW,9,1011.8
19/8/22,10.3,20.3,0,WSW,46,15:43,16.2,57,7,W,9,1012.2,17,58,8,WSW,13,1011.6
20/8/22,3.3,19.2,0,NW,31,9:39,13.4,51,0,NNW,11,1020.1,18.4,41,0,NNW,11,1017.9
21/8/22,9.7,19.3,0,E,28,16:54,12.8,53,0,WSW,9,1027.9,18.6,35,0,N,7,1024
22/8/22,3.6,22.3,0,WNW,43,15:23,10.6,76,0,NA,0,1021.2,21.1,30,0,WNW,24,1013.8
23/8/22,10.6,22.4,0,SSE,54,13:24,18.5,45,0,NNW,11,1009.6,9.7,89,0,SSW,19,1010.4
24/8/22,6.7,17.5,9.2,SW,35,9:38,10.9,50,0,SW,22,1021.3,17,33,0,SW,17,1018.9
25/8/22,5.7,18.5,0,W,30,11:10,13.7,57,0,WSW,13,1022,17.1,47,8,SSE,17,1021.6
26/8/22,7.6,18.5,0,SSE,37,14:14,13.8,63,0,WSW,13,1027.8,18.2,58,0,SSE,24,1026.3
27/8/22,9.4,18.1,2.2,ESE,28,16:13,12.7,87,0,WNW,9,1030.3,16.8,69,0,ESE,17,1027.5
28/8/22,7.3,21.1,3,ENE,30,16:13,12.4,91,0,NA,0,1030.2,19.2,56,0,E,17,1026.3
29/8/22,8.3,19.9,0,NNE,19,11:38,12.3,99,0,N,4,1026.4,19.2,66,0,ENE,15,1022.1
30/8/22,10.5,23.7,1,N,44,10:36,18.9,65,0,N,17,1016.5,22.8,52,0,N,22,1013.6
31/8/22,7.6,20.8,0,ESE,35,13:03,16.4,60,0,SW,13,1024.6,18.3,66,0,ESE,24,1023.1
1/9/22,12.2,22.4,0,ENE,30,15:13,15.5,85,0,WNW,6,1024.3,20.7,57,0,ENE,15,1019.6
2/9/22,11.5,17.7,0,SSE,44,14:57,14.8,83,0,WSW,7,1022.7,15.5,65,0,SSE,28,1021.6
3/9/22,10.6,15,1.2,SSE,41,12:29,11.2,92,0,SW,13,1024.7,13.3,77,0,SE,24,1024
4/9/22,9.9,18,11.4,SSE,48,11:04,13.4,87,0,SW,15,1025.9,15.4,68,0,SSW,20,1024.7
5/9/22,5.9,18.5,0.2,SSE,39,16:29,13.8,60,0,WSW,9,1024.4,16.6,51,0,SSE,20,1022
6/9/22,6.7,18.1,0.2,ESE,37,12:59,13.9,66,0,WSW,9,1025.9,16.2,59,8,SE,19,1023.6
7/9/22,7.1,19.4,0,NE,30,15:46,14.2,74,0,NNW,2,1026.2,18.6,52,1,E,17,1021.7
8/9/22,8.8,22.1,0,NNE,41,16:18,16,69,0,N,7,1021.6,20.5,55,5,NE,26,1015.9
9/9/22,14.2,21,3,NNW,28,12:20,14.7,90,8,N,7,1013.4,20.1,52,8,NW,7,1009.4
10/9/22,9.9,23.3,3.4,SW,37,15:08,16.2,70,8,WNW,7,1009.9,22.5,38,4,W,17,1006.7
