Date,Holiday Name
20140101,New Year's Day
20140127,Australia Day
20140418,Good Friday
20140419,Easter Saturday
20140420,Easter Sunday
20140421,Easter Monday
20140425,Anzac Day
20140609,Queen's Birthday
20141006,Labour Day
20141225,Christmas Day
20141226,Boxing Day
20150101,New Year's Day
20150126,Australia Day
20150403,Good Friday
20150404,Easter Saturday
20150405,Easter Sunday
20150406,Easter Monday
20150425,Anzac Day
20150608,Queen's Birthday
20151005,Labour Day
20151225,Christmas Day
20151228,Boxing Day
20160101,New Year's Day
20160126,Australia Day
20160325,Good Friday
20160326,Easter Saturday
20160327,Easter Sunday
20160328,Easter Monday
20160425,Anzac Day
20160613,Queen's Birthday
20161003,Labour Day
20161225,Christmas Day
20161226,Boxing Day
20161227,Christmas Day holiday
20170101,New Year's Day
20170102,New Year's Day Holiday
20170126,Australia Day
20170414,Good Friday
20170415,Easter Saturday
20170416,Easter Sunday
20170417,Easter Monday
20170425,Anzac Day
20170612,Queen's Birthday
20171002,Labour Day
20171225,Christmas Day
20171226,Boxing Day
20180101,New Year's Day
20180126,Australia Day
20180330,Good Friday
20180331,Easter Saturday
20180401,Easter Sunday
20180402,Easter Monday
20180425,ANZAC Day
20180611,Queen's Birthday
20181001,Labour Day
20181225,Christmas Day
20181226,Boxing Day
20190101,New Year's Day
20190128,Australia Day
20190419,Good Friday
20190420,Saturday before Easter Sunday
20190421,Easter Sunday
20190422,Easter Monday
20190425,Anzac Day
20190610,Queen's Birthday
20191007,Labour Day
20191225,Christmas Day 
20191226,Boxing Day
20200101,New Year's Day
20200127,Australia Day
20200410,Good Friday
20200411,Easter Saturday - the Saturday following Good Friday
20200412,Easter Sunday
20200413,Easter Monday
20200425,Anzac Day
20200608,Queen's Birthday
20201005,Labour Day
20201225,Christmas Day 
20201226,Boxing Day
20201228,Boxing Day (Additional day)
20210101,New Year's Day
20210126,Australia Day
20210402,Good Friday
20210403,Easter Saturday
20210404,Easter Sunday
20210405,Easter Monday
20210425,Anzac Day
20210614,Queen's Birthday
20211004,Labour Day
20211225,Christmas Day 
20211226,Boxing Day
20211227,Christmas (additional day)
20211228,Boxing Day (additional day)
20220101,New Year's Day
20220103,New Year's Day (additional day)
20220126,Australia Day
20220415,Good Friday
20220416,Easter Saturday - the Saturday following Good Friday
20220417,Easter Sunday
20220418,Easter Monday
20220425,Anzac Day
20220613,Queen's Birthday
20221003,Labour Day
20221225,Christmas Day 
20221226,Boxing Day
20221227,Christmas (additional day)
20230101,New Year's Day
20230102,New Year's Day (observed)
20230126,Australia Day
20230407,Good Friday
20230408,Easter Saturday
20230409,Easter Sunday
20230410,Easter Monday
20230425,Anzac Day
20230612,King's Birthday
20231002,Labour Day
20231225,Christmas Day 
20231226,Boxing Day
